Episode 0 Reward:  Last: 42.00  Average: 42.00  Running: 11.60  Std: 0.00  Max(all): 42.00  Min(all): 42.00 Policy_loss: 1.10  Value_loss: 20.48
Episode 25 Reward:  Last: 22.00  Average: 24.27  Running: 20.69  Std: 11.64  Max(all): 52.00  Min(all): 10.00 Policy_loss: 1.95  Value_loss: 9.58
Episode 50 Reward:  Last: 20.00  Average: 25.78  Running: 25.26  Std: 12.61  Max(all): 61.00  Min(all): 9.00 Policy_loss: -0.09  Value_loss: 9.40
Episode 75 Reward:  Last: 13.00  Average: 25.16  Running: 24.99  Std: 12.00  Max(all): 61.00  Min(all): 9.00 Policy_loss: 0.17  Value_loss: 6.28
Episode 100 Reward:  Last: 20.00  Average: 28.04  Running: 34.39  Std: 15.53  Max(all): 96.00  Min(all): 9.00 Policy_loss: -1.89  Value_loss: 10.24
Episode 125 Reward:  Last: 25.00  Average: 27.46  Running: 27.99  Std: 15.02  Max(all): 96.00  Min(all): 9.00 Policy_loss: 1.95  Value_loss: 8.29
Episode 150 Reward:  Last: 16.00  Average: 26.79  Running: 24.49  Std: 14.43  Max(all): 96.00  Min(all): 9.00 Policy_loss: 1.21  Value_loss: 5.77
Episode 175 Reward:  Last: 83.00  Average: 27.59  Running: 31.41  Std: 16.03  Max(all): 96.00  Min(all): 9.00 Policy_loss: -0.90  Value_loss: 37.72
Episode 200 Reward:  Last: 71.00  Average: 28.40  Running: 34.72  Std: 17.60  Max(all): 99.00  Min(all): 9.00 Policy_loss: -2.70  Value_loss: 28.02
Episode 225 Reward:  Last: 32.00  Average: 28.47  Running: 30.25  Std: 17.46  Max(all): 99.00  Min(all): 9.00 Policy_loss: -0.77  Value_loss: 14.13
Episode 250 Reward:  Last: 15.00  Average: 28.37  Running: 27.60  Std: 17.04  Max(all): 99.00  Min(all): 9.00 Policy_loss: 1.15  Value_loss: 5.79
Episode 275 Reward:  Last: 84.00  Average: 29.05  Running: 34.57  Std: 17.64  Max(all): 99.00  Min(all): 9.00 Policy_loss: -6.54  Value_loss: 36.33
Episode 300 Reward:  Last: 59.00  Average: 31.44  Running: 51.02  Std: 20.57  Max(all): 118.00  Min(all): 9.00 Policy_loss: -7.60  Value_loss: 25.08
Episode 325 Reward:  Last: 127.00  Average: 34.86  Running: 73.31  Std: 25.78  Max(all): 200.00  Min(all): 9.00 Policy_loss: 2.19  Value_loss: 45.58
Episode 350 Reward:  Last: 41.00  Average: 38.85  Running: 83.19  Std: 31.76  Max(all): 200.00  Min(all): 9.00 Policy_loss: -13.95  Value_loss: 16.12
Episode 375 Reward:  Last: 123.00  Average: 44.42  Running: 113.19  Std: 38.92  Max(all): 200.00  Min(all): 9.00 Policy_loss: -5.57  Value_loss: 7.70
Episode 400 Reward:  Last: 200.00  Average: 51.49  Running: 143.39  Std: 48.10  Max(all): 200.00  Min(all): 9.00 Policy_loss: -43.40  Value_loss: 87.64
Episode 425 Reward:  Last: 200.00  Average: 58.18  Running: 160.41  Std: 55.06  Max(all): 200.00  Min(all): 9.00 Policy_loss: -2.08  Value_loss: 50.58
Episode 450 Reward:  Last: 188.00  Average: 63.61  Running: 157.70  Std: 59.23  Max(all): 200.00  Min(all): 9.00 Policy_loss: -55.52  Value_loss: 54.97
Episode 475 Reward:  Last: 155.00  Average: 69.68  Running: 174.52  Std: 63.61  Max(all): 200.00  Min(all): 9.00 Policy_loss: 2.56  Value_loss: 35.99
Episode 500 Reward:  Last: 200.00  Average: 75.04  Running: 176.53  Std: 66.59  Max(all): 200.00  Min(all): 9.00 Policy_loss: -31.79  Value_loss: 38.98
Episode 525 Reward:  Last: 152.00  Average: 80.54  Running: 187.16  Std: 69.62  Max(all): 200.00  Min(all): 9.00 Policy_loss: -26.60  Value_loss: 55.22
Episode 550 Reward:  Last: 124.00  Average: 85.30  Running: 183.39  Std: 71.64  Max(all): 200.00  Min(all): 9.00 Policy_loss: 16.51  Value_loss: 5.26
Episode 575 Reward:  Last: 200.00  Average: 89.51  Running: 183.14  Std: 73.02  Max(all): 200.00  Min(all): 9.00 Policy_loss: 25.84  Value_loss: 19.50
Episode 600 Reward:  Last: 200.00  Average: 93.85  Running: 189.90  Std: 74.54  Max(all): 200.00  Min(all): 9.00 Policy_loss: 79.14  Value_loss: 75.28
